,place,category,rank
0,1. Golden Temple,religious,1
1,2. Gurudwara Chheharta Sahib,religious,2
2,3. Akal Takht,religious,3
3,4. Gurudwara Mata Kaulan,religious,4
4,5. Gurudwara Bibeksar Sahib,religious,5
5,6. Gurudwara Bir Baba Budha Sahib,religious,6
6,7. Tarn Taran Sahib,religious,7
7,8. Gurudwara Baba Atal Rai,religious,8
8,9. Gurudwara Baba Deep Singh Ji,religious,9
9,10. Gurudwara Goindwal Sahib,religious,10
10,1. Dukh Bhanjani Ber Tree,historical site,1
11,2. Goindwal Baoli,historical site,2
12,3. Khalsa College,historical site,3
13,4. Pul Kanjari,historical site,4
14,1. Mata Lal Devi Temple,religious,1
15,2. Durgiana Temple,religious,2
16,3. Shri Ram Tirth Temple,religious,3
17,4. ISKCON Temple,religious,4
18,1. Sun City,entertainment,1
19,2. Rainbow Resorts Water Park,entertainment,2
20,3. Thunderzone Amusement and Water Park,entertainment,3
21,4. Bliss Aqua World,entertainment,4
22,1. Guru Ke Mahal,historical site,1
23,2. Gobindgarh Fort,historical site,2
24,3. Bathinda Fort,historical site,3
25,1. Partition Museum,historical site,1
26,2. Maharaja Ranjit Singh Museum,historical site,2
27,3. Punjab State War Heroes Memorial and Museum,historical site,3
28,1. Khair-ud-Din Masjid,religious,1
29,1. Jallianwala Bagh,park,1
30,1. Street Food,Select,1
31,1. Wagah Border,entertainment,1
32,1. Hall Bazaar Amritsar,shopping,1
33,1. Harike Wetland,park,1
